1,-0.01 ,60.98,0,0,0
1,!ANG:0.00 ,0.00 ,0.00,0,0,0
2,!ANG:0.02 ,-0.04 ,-0.00,0,0,0
3,!ANG:0.04 ,-0.09 ,0.00,0,0,0
4,!ANG:0.04 ,-0.08 ,0.00,0,0,0
